0	9599
1	3666
2	2462
3	1608
4	1326
5	947
6	829
7	713
8	635
9	552
10	513
11	454
12	450
13	417
14	365
15	297
16	278
17	242
18	260
19	217
20	193
21	210
22	162
23	152
24	148
25	154
26	124
27	123
28	113
29	123
30	101
31	104
32	110
33	94
34	91
35	71
36	79
37	101
38	57
39	60
40	59
41	62
42	49
43	61
44	60
45	42
46	41
47	47
48	45
49	23
50	43
51	36
52	56
53	26
54	42
55	43
56	27
57	47
58	17
59	30
60	24
61	33
62	35
63	30
64	47
65	35
66	34
67	30
68	32
69	28
70	14
71	23
72	19
73	22
74	21
75	23
76	24
77	25
78	24
79	20
80	27
81	22
82	17
83	24
84	20
85	26
86	12
87	15
88	17
89	15
90	6
91	14
92	7
93	9
94	12
95	15
96	14
97	5
98	13
99	13
100	9
101	15
102	17
103	15
104	9
105	4
106	12
107	9
108	9
109	8
110	5
111	9
112	7
113	9
114	8
115	8
116	9
117	6
118	5
119	7
120	6
121	4
122	4
123	5
124	9
125	5
126	9
127	1
128	8
129	3
130	7
131	8
132	6
133	7
134	1
135	7
136	9
137	3
138	3
139	6
140	3
141	1
142	6
143	1
144	5
145	4
146	5
147	7
148	7
149	3
150	3
151	4
152	1
153	4
154	0
155	2
156	9
157	6
158	3
159	6
160	3
161	4
162	2
163	3
164	2
165	1
166	1
167	5
168	2
169	4
170	3
171	1
172	4
173	0
174	1
175	1
176	1
177	1
178	2
179	0
180	1
181	1
182	2
183	0
184	3
185	1
186	4
187	2
188	2
189	3
190	0
191	4
192	2
193	2
194	2
195	1
196	3
197	0
198	0
199	2
200	2
201	0
202	2
203	2
204	1
205	1
206	1
207	0
208	0
209	3
210	3
211	0
212	1
213	1
214	4
215	0
216	2
217	0
218	0
219	1
220	0
221	1
222	0
223	1
224	0
225	2
226	1
227	1
228	2
229	0
230	0
231	0
232	3
233	1
234	4
235	0
236	1
237	0
238	0
239	0
240	1
241	0
242	0
243	0
244	1
245	0
246	0
247	1
248	0
249	1
250	1
251	0
252	0
253	0
254	0
255	0
256	1
257	0
258	0
259	0
260	1
261	1
262	0
263	0
264	0
265	1
266	0
267	0
268	1
269	1
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	1
278	0
279	0
280	0
281	2
282	0
283	0
284	0
285	0
286	1
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	1
300	0
301	0
302	1
303	1
304	1
305	0
306	0
307	0
308	0
309	0
310	1
311	0
312	0
313	1
314	0
315	1
316	0
317	0
318	0
319	2
320	0
321	0
322	0
323	2
324	0
325	0
326	1
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	1
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	1
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	1
403	0
404	0
405	0
406	1
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	1
