0	282	114
1	289	110
2	48	26
3	24	5
4	26	11
5	123	62
6	15	3
7	61	24
8	105	46
9	15	2
10	58	9
11	9	1
12	70	21
13	52	23
14	161	70
15	28	18
16	5	5
17	35	22
18	20	10
19	40	35
20	39	20
21	27	25
22	78	25
23	36	27
24	72	21
25	39	18
26	18	11
27	38	15
28	84	40
29	3	1
30	24	20
31	50	30
32	5	3
33	24	21
34	28	15
35	13	4
36	36	9
37	39	24
38	143	90
39	85	38
40	99	55
41	26	18
42	9	4
43	35	17
44	180	92
45	20	20
46	19	10
47	68	25
48	62	7
49	14	5
50	52	20
51	0	0
52	50	25
53	28	21
54	37	10
55	29	21
56	136	61
57	127	61
58	26	3
59	51	16
60	7	5
61	73	30
62	35	8
63	33	9
64	10	7
65	23	10
66	26	4
67	5	2
68	42	13
69	27	19
70	84	32
71	219	78
72	99	33
73	39	18
74	5	5
75	13	8
76	0	0
77	34	7
78	41	7
79	14	7
80	12	6
81	32	16
82	22	7
83	67	21
84	125	20
85	17	16
86	40	33
87	39	17
88	89	39
89	11	3
90	16	12
91	55	15
92	23	15
93	51	39
94	93	40
95	17	12
96	30	4
97	38	24
98	70	12
99	1	1
100	22	15
101	7	7
102	8	1
103	36	18
104	54	24
105	13	5
106	25	25
107	1	1
108	120	51
109	115	59
110	26	19
111	23	10
112	97	43
113	66	34
114	43	9
115	73	26
116	43	18
117	113	58
118	9	3
119	69	30
120	65	41
121	20	6
122	52	21
123	58	28
124	12	9
125	95	31
126	82	31
127	11	9
128	200	59
129	102	58
130	122	48
131	0	0
132	104	52
133	24	20
134	35	26
135	12	8
136	54	38
137	26	24
138	67	31
139	15	8
140	47	14
141	47	13
142	20	8
143	25	24
144	42	16
145	31	23
146	25	16
147	109	15
148	30	22
149	42	13
150	74	35
151	42	12
152	262	82
153	259	82
154	93	32
155	177	71
156	91	27
157	17	12
158	55	21
159	151	64
160	71	49
161	84	29
162	239	76
163	133	33
164	107	48
165	98	62
166	48	23
167	80	51
168	94	24
169	157	64
170	84	30
171	153	31
172	70	34
173	111	29
174	64	39
175	77	30
176	82	27
177	64	19
178	29	19
179	51	23
180	147	56
181	165	61
182	83	36
183	123	53
184	58	18
185	123	59
186	126	46
187	136	46
188	69	28
189	102	37
190	57	20
191	230	66
192	46	33
193	59	29
194	82	38
195	100	40
196	65	44
197	76	26
198	73	42
199	118	26
200	65	29
201	39	18
202	69	25
203	42	28
204	319	145
205	319	143
206	27	17
207	9	8
208	27	14
209	60	30
210	17	13
211	61	42
212	124	61
213	18	5
214	94	31
215	2	2
216	0	0
217	28	9
218	0	0
219	52	34
220	105	32
221	3	3
222	19	16
223	1	1
224	31	24
225	2	1
226	38	20
227	22	8
228	175	64
229	20	18
230	26	15
231	80	43
232	5	4
233	6	2
234	46	32
235	8	1
236	25	14
237	5	3
238	19	4
239	14	14
240	39	3
241	1	1
242	12	4
243	1	1
244	4	4
245	24	14
246	9	8
247	33	28
248	19	7
249	42	10
250	14	9
251	51	20
252	13	9
253	7	4
254	14	6
255	17	6
256	25	20
257	71	38
258	27	6
259	26	20
260	25	5
261	28	10
262	45	27
263	6	2
264	77	9
265	22	20
266	48	30
267	29	7
268	28	11
269	67	38
270	20	11
271	1	1
272	10	9
273	55	41
274	53	36
275	5	3
276	55	35
277	17	7
278	15	12
279	45	25
280	11	2
281	23	15
282	4	4
283	54	15
284	3	3
285	3	2
286	63	27
287	23	9
288	4	2
289	46	25
290	26	7
291	48	27
292	53	30
293	21	19
294	81	38
295	12	8
296	270	111
297	8	2
298	37	18
299	29	24
300	10	3
301	56	24
302	4	2
303	0	0
304	43	12
305	32	29
306	328	95
307	371	106
308	29	12
309	24	18
310	25	22
311	6	3
312	26	16
313	36	9
314	9	6
315	10	5
316	28	17
317	22	6
318	30	23
319	26	16
320	37	8
321	18	4
322	41	22
323	18	7
324	99	25
325	104	43
326	2	2
327	72	37
328	36	7
329	3	1
330	22	4
331	18	9
332	32	7
333	20	3
334	192	79
335	28	13
336	8	7
337	22	9
338	12	7
339	4	3
340	36	26
341	16	2
342	16	2
343	52	19
344	21	7
345	5	2
346	10	5
347	9	4
348	68	31
349	29	11
350	31	14
351	136	86
352	0	0
353	31	8
354	22	15
355	42	12
356	23	14
357	36	20
358	24	7
359	34	15
360	11	8
361	184	78
362	12	3
363	21	7
364	38	23
365	25	4
366	67	25
367	27	11
368	33	15
369	26	5
370	41	14
371	81	35
372	36	6
373	66	32
374	4	2
375	32	11
376	14	2
377	44	6
378	2	2
379	39	30
380	19	8
381	10	7
382	37	7
383	9	3
