# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1384.7000 A83 2000000 1 188.7000 Street_5 Avenue_15 296 N Street_5->Avenue_15
1410.0000 A89 2000000 1 129.0000 Street_8 Street_6 297 N Street_8->Street_6
1420.6000 A47 2000000 1 750.6000 Avenue_17 Avenue_12 287 N Avenue_17->Avenue_12
1444.0000 A70 2000000 2 441.0000 Street_2 Street_1 292 N Street_2->Street_5->Street_1
1452.5000 A86 2000000 1 218.5000 Avenue_16 Street_9 296 N Avenue_16->Street_9
1556.0000 A100 2000000 1 124.0000 Avenue_13 Avenue_12 297 N Avenue_13->Avenue_12
1572.9000 A97 2000000 1 185.9000 Street_10 Avenue_16 296 N Street_10->Avenue_16
1627.8000 A113 2000000 1 1.8000 Street_10 Street_1 299 N Street_10->Street_1
1691.6000 A50 2000000 5 975.6000 Street_4 Street_9 283 N Street_4->Street_8->Street_3->Street_10->Avenue_12->Street_9
1725.9000 A90 2000000 2 434.9000 Street_9 Station1_0 292 N Street_9->Street_6->Station1_0
1727.4000 A95 2000000 1 371.4000 Street_6 Station1_0 293 N Street_6->Station1_0
1728.9000 A96 2000000 1 360.9000 Station1_0 Street_6 293 N Station1_0->Street_6
1730.4000 A77 2000000 1 632.4000 Station1_0 Street_6 289 N Station1_0->Street_6
1778.5000 A48 2000000 6 1098.5000 Avenue_15 Avenue_11 281 N Avenue_15->Street_7->Street_6->Avenue_14->Street_8->Street_3->Avenue_11
1779.7000 A93 2000000 1 452.7000 Street_9 Avenue_14 292 N Street_9->Avenue_14
1807.1000 A116 2000000 1 143.1000 Street_2 Street_6 297 N Street_2->Street_6
1845.4000 A122 2000000 1 101.4000 Street_8 Street_10 298 N Street_8->Street_10
1847.2000 A59 2000000 3 1016.2000 Avenue_12 Avenue_18 283 N Avenue_12->Avenue_16->Avenue_13->Avenue_18
1863.6000 A123 2000000 1 107.6000 Street_8 Street_4 298 N Street_8->Street_4
1865.1000 A119 2000000 1 160.1000 Street_8 Street_4 297 N Street_8->Street_4
1874.0000 A131 2000000 1 3.0000 Avenue_17 Avenue_16 299 N Avenue_17->Avenue_16
1876.6000 A108 2000000 1 326.6000 Street_3 Street_4 294 N Street_3->Street_4
1880.9000 A110 2000000 1 306.9000 Avenue_14 Street_7 294 N Avenue_14->Street_7
1903.5000 A85 2000000 3 680.5000 Street_9 Street_8 288 N Street_9->Street_7->Street_5->Street_8
