# time  ID  size  fromHost  toHost  TTL  isResponse
10.0000 A1 2000000 Street_1 Avenue_16 300 N 
29.0000 A2 2000000 Street_9 Avenue_17 300 N 
40.0000 A3 2000000 Avenue_13 Avenue_18 300 N 
56.0000 A4 2000000 Street_5 Street_3 300 N 
71.0000 A5 2000000 Street_3 Street_9 300 N 
81.0000 A6 2000000 Street_8 Street_7 300 N 
98.0000 A7 2000000 Avenue_11 Avenue_20 300 N 
117.0000 A8 2000000 Avenue_16 Avenue_20 300 N 
128.0000 A9 2000000 Street_2 Street_9 300 N 
141.0000 A10 2000000 Avenue_16 Street_9 300 N 
158.0000 A11 2000000 Avenue_16 Avenue_19 300 N 
168.0000 A12 2000000 Street_1 Street_3 300 N 
181.0000 A13 2000000 Street_1 Street_7 300 N 
199.0000 A14 2000000 Street_10 Avenue_14 300 N 
209.0000 A15 2000000 Street_4 Street_8 300 N 
219.0000 A16 2000000 Street_7 Street_3 300 N 
238.0000 A17 2000000 Avenue_13 Street_4 300 N 
250.0000 A18 2000000 Street_3 Street_9 300 N 
268.0000 A19 2000000 Street_6 Avenue_13 300 N 
287.0000 A20 2000000 Street_7 Street_6 300 N 
299.0000 A21 2000000 Street_9 Street_1 300 N 
313.0000 A22 2000000 Avenue_16 Street_7 300 N 
326.0000 A23 2000000 Avenue_18 Avenue_14 300 N 
340.0000 A24 2000000 Street_6 Avenue_15 300 N 
352.0000 A25 2000000 Avenue_15 Street_6 300 N 
368.0000 A26 2000000 Avenue_20 Street_7 300 N 
383.0000 A27 2000000 Street_7 Street_2 300 N 
395.0000 A28 2000000 Avenue_18 Street_6 300 N 
409.0000 A29 2000000 Avenue_18 Avenue_11 300 N 
428.0000 A30 2000000 Street_5 Station1_0 300 N 
439.0000 A31 2000000 Street_10 Avenue_12 300 N 
457.0000 A32 2000000 Street_3 Street_10 300 N 
476.0000 A33 2000000 Avenue_17 Street_4 300 N 
495.0000 A34 2000000 Avenue_19 Street_6 300 N 
507.0000 A35 2000000 Avenue_20 Street_1 300 N 
519.0000 A36 2000000 Avenue_17 Street_4 300 N 
530.0000 A37 2000000 Avenue_12 Station1_0 300 N 
545.0000 A38 2000000 Street_8 Street_5 300 N 
560.0000 A39 2000000 Street_5 Street_2 300 N 
574.0000 A40 2000000 Avenue_16 Avenue_19 300 N 
586.0000 A41 2000000 Street_4 Street_10 300 N 
602.0000 A42 2000000 Street_5 Avenue_19 300 N 
613.0000 A43 2000000 Street_10 Street_4 300 N 
628.0000 A44 2000000 Avenue_19 Avenue_13 300 N 
640.0000 A45 2000000 Street_1 Street_7 300 N 
658.0000 A46 2000000 Street_6 Street_4 300 N 
670.0000 A47 2000000 Avenue_17 Avenue_12 300 N 
680.0000 A48 2000000 Avenue_15 Avenue_11 300 N 
698.0000 A49 2000000 Avenue_20 Avenue_14 300 N 
716.0000 A50 2000000 Street_4 Street_9 300 N 
729.0000 A51 2000000 Street_3 Street_1 300 N 
739.0000 A52 2000000 Street_1 Street_9 300 N 
755.0000 A53 2000000 Avenue_14 Avenue_17 300 N 
766.0000 A54 2000000 Avenue_16 Street_5 300 N 
778.0000 A55 2000000 Street_2 Street_9 300 N 
795.0000 A56 2000000 Avenue_18 Street_10 300 N 
806.0000 A57 2000000 Street_10 Avenue_15 300 N 
817.0000 A58 2000000 Street_4 Street_10 300 N 
831.0000 A59 2000000 Avenue_12 Avenue_18 300 N 
845.0000 A60 2000000 Street_5 Street_7 300 N 
863.0000 A61 2000000 Avenue_18 Street_7 300 N 
874.0000 A62 2000000 Avenue_13 Avenue_14 300 N 
888.0000 A63 2000000 Avenue_15 Avenue_19 300 N 
905.0000 A64 2000000 Street_3 Street_7 300 N 
920.0000 A65 2000000 Avenue_11 Street_8 300 N 
939.0000 A66 2000000 Street_5 Street_6 300 N 
958.0000 A67 2000000 Avenue_20 Street_4 300 N 
977.0000 A68 2000000 Street_10 Street_4 300 N 
988.0000 A69 2000000 Avenue_16 Avenue_19 300 N 
1003.0000 A70 2000000 Street_2 Street_1 300 N 
1018.0000 A71 2000000 Avenue_20 Street_5 300 N 
1032.0000 A72 2000000 Avenue_14 Street_1 300 N 
1045.0000 A73 2000000 Street_8 Street_4 300 N 
1062.0000 A74 2000000 Avenue_19 Street_1 300 N 
1075.0000 A75 2000000 Street_10 Avenue_14 300 N 
1086.0000 A76 2000000 Street_8 Street_3 300 N 
1098.0000 A77 2000000 Station1_0 Street_6 300 N 
1114.0000 A78 2000000 Avenue_15 Avenue_11 300 N 
1128.0000 A79 2000000 Avenue_15 Street_4 300 N 
1144.0000 A80 2000000 Street_6 Avenue_15 300 N 
1159.0000 A81 2000000 Street_4 Street_7 300 N 
1178.0000 A82 2000000 Street_10 Station1_0 300 N 
1196.0000 A83 2000000 Street_5 Avenue_15 300 N 
1209.0000 A84 2000000 Street_2 Avenue_13 300 N 
1223.0000 A85 2000000 Street_9 Street_8 300 N 
1234.0000 A86 2000000 Avenue_16 Street_9 300 N 
1244.0000 A87 2000000 Avenue_16 Station1_0 300 N 
1263.0000 A88 2000000 Street_3 Street_8 300 N 
1281.0000 A89 2000000 Street_8 Street_6 300 N 
1291.0000 A90 2000000 Street_9 Station1_0 300 N 
1302.0000 A91 2000000 Avenue_12 Street_7 300 N 
1317.0000 A92 2000000 Street_8 Avenue_12 300 N 
1327.0000 A93 2000000 Street_9 Avenue_14 300 N 
1343.0000 A94 2000000 Station1_0 Street_1 300 N 
1356.0000 A95 2000000 Street_6 Station1_0 300 N 
1368.0000 A96 2000000 Station1_0 Street_6 300 N 
1387.0000 A97 2000000 Street_10 Avenue_16 300 N 
1399.0000 A98 2000000 Avenue_14 Street_2 300 N 
1417.0000 A99 2000000 Avenue_17 Avenue_11 300 N 
1432.0000 A100 2000000 Avenue_13 Avenue_12 300 N 
1448.0000 A101 2000000 Street_5 Station1_0 300 N 
1466.0000 A102 2000000 Street_1 Avenue_14 300 N 
1481.0000 A103 2000000 Avenue_20 Station1_0 300 N 
1493.0000 A104 2000000 Avenue_19 Street_3 300 N 
1506.0000 A105 2000000 Avenue_11 Avenue_19 300 N 
1523.0000 A106 2000000 Street_6 Street_4 300 N 
1533.0000 A107 2000000 Street_5 Avenue_11 300 N 
1550.0000 A108 2000000 Street_3 Street_4 300 N 
1563.0000 A109 2000000 Avenue_17 Avenue_20 300 N 
1574.0000 A110 2000000 Avenue_14 Street_7 300 N 
1593.0000 A111 2000000 Avenue_15 Avenue_19 300 N 
1610.0000 A112 2000000 Avenue_14 Avenue_11 300 N 
1626.0000 A113 2000000 Street_10 Street_1 300 N 
1636.0000 A114 2000000 Avenue_12 Station1_0 300 N 
1653.0000 A115 2000000 Street_10 Avenue_11 300 N 
1664.0000 A116 2000000 Street_2 Street_6 300 N 
1681.0000 A117 2000000 Station1_0 Street_3 300 N 
1692.0000 A118 2000000 Street_3 Avenue_19 300 N 
1705.0000 A119 2000000 Street_8 Street_4 300 N 
1718.0000 A120 2000000 Street_8 Station1_0 300 N 
1732.0000 A121 2000000 Avenue_19 Avenue_17 300 N 
1744.0000 A122 2000000 Street_8 Street_10 300 N 
1756.0000 A123 2000000 Street_8 Street_4 300 N 
1772.0000 A124 2000000 Street_10 Street_1 300 N 
1788.0000 A125 2000000 Street_4 Street_5 300 N 
1803.0000 A126 2000000 Street_5 Street_9 300 N 
1819.0000 A127 2000000 Avenue_15 Avenue_18 300 N 
1832.0000 A128 2000000 Street_7 Avenue_20 300 N 
